Team,Year,Week,Win/Loss,Win Loss Factor,Home/Away,Points Scored,Points Allowed,3rd Down,3rd Down Allowed,Pass Yards,Pass Yards Allowed,Rush Yards,Rush Yards Allowed,Opp Team
1,0,12,1,0.546601,0,11.5,-10,0.055793,-0.086175,44.2,-41.7,-4.1,22.4,3
20,0,6,0,0.098121,1,2,-1.8,-0.004472,-0.176993,-61.4,-64.4,46,22.4,27
23,2,11,0,-0.108599,0,-1.5,-0.3,-0.005999,0.030653,-28.7,-76.7,41.4,22.6,27
0,1,14,0,-0.195115,0,-3.416667,-6.166667,0.015346,-0.072401,-51.75,-83.166667,24.166667,22.75,24
9,1,2,1,-0.124353,0,-15,22,-0.087301,0.153847,-79,57,-54,23,30
12,0,5,0,0.231059,1,1.5,-12.5,0.024886,-0.097786,15.5,-55.5,14,23,14
20,1,11,1,-0.379751,1,2.955556,5.444444,-0.0426,-0.084426,31.322222,33.255556,13.144444,23.355556,22
21,1,15,1,-0.776095,1,-11.769231,7.692308,-0.107553,0.086701,-51.615385,34.153846,-12.076923,23.384615,31
25,2,3,1,-0.122459,1,1.5,-0.5,-0.042541,0.049522,-52,-51.5,-26.5,23.5,26
1,0,8,1,-0.179179,1,1.52381,1.119048,-0.064729,-0.015897,2.309524,23.904762,-33.690476,23.571429,29
11,1,14,0,-0.149738,1,-6.25,6.166667,0.025715,0.050053,-25.583333,-40.916667,-18.25,23.75,30
2,1,10,1,0,1,0.666667,-2.888889,0.048469,-0.023294,19,6.555556,-53.555556,24,7
15,0,9,0,0.168882,0,-5.125,-1.857143,-0.054602,-0.048645,-78.375,-74.803571,4.232143,24.178571,27
2,0,9,1,0.201618,0,7.678571,-5.892857,0.11083,0.000677,36.125,-65.892857,56.714286,24.303571,3
21,1,7,0,-0.548633,0,-11.666667,7.5,-0.078018,-0.103474,-68.833333,-7,-11.666667,24.5,29
19,1,10,1,-0.462117,1,-13,5.5,-0.14629,0.175169,-97,29,22.625,24.625,24
17,2,11,1,-0.172774,0,-1.666667,-3,-0.006859,-0.006064,-50.222222,-81.222222,27.555556,24.777778,20
13,1,10,0,0.244919,1,0.625,1.25,0.072896,0.146991,22.125,-49.875,-22.375,24.875,20
0,0,14,1,-0.106567,1,-0.083333,7.916667,0.03903,0.058307,24.25,42.416667,6.5,25.25,6
17,1,4,1,-0.117002,1,7,13,0.118607,0.201308,-7.333333,185.666667,33.666667,25.333333,25
2,0,14,0,-0.231059,0,-2.25,1,-0.042009,0.07131,-79.666667,27.5,26.666667,25.5,29
18,1,7,1,-0.231059,1,-4.833333,9.333333,0.031674,0.14141,26.5,67.333333,-19.666667,25.666667,25
12,0,11,1,0.172774,0,3.444444,-6.444444,-0.018077,-0.081181,64.666667,-49.333333,-25.444444,26,14
9,1,10,1,0.154841,1,3.208333,4.069444,0.063774,0.018084,26.263889,-7.472222,15.888889,26.25,26
12,1,6,1,0,0,6.2,1.6,0.245838,-0.101892,52.8,3,19.4,26.6,19
12,1,4,1,0,0,9.333333,10.333333,0.082479,0.017316,59,88,-22.333333,26.666667,16
8,0,10,0,-0.548633,0,-9.25,5.375,-0.051722,0.012573,-17.625,45.625,-27.75,27.125,22
6,1,8,1,-0.062177,0,-5.214286,-1.571429,0.018018,-0.082047,19.666667,29.52381,-89.261905,27.238095,7
24,2,9,1,-0.060283,1,1.392857,-3.553571,-0.118143,-0.021167,42,-11.964286,-6.553571,27.482143,29
14,2,4,1,-0.241355,1,7,13.666667,-0.005263,0.120013,36.333333,97,-37.666667,28,15
14,1,12,1,-0.231059,0,-7,4.8,-0.107774,0.100015,5.3,-31.3,-50.1,28.4,17
13,2,9,1,0.062177,0,-1.571429,1.375,-0.050955,-0.055403,116.803571,-87.017857,-69.267857,28.839286,27
6,1,5,1,-0.244919,1,-4,11,0.090228,0.044825,14.5,61,-66.75,29,15
2,0,10,1,-0.353518,1,-7.625,6.5,-0.01853,0.098404,25.375,-1.25,-10,29.25,5
1,2,4,0,0.241355,0,6.333333,3,0.028998,0.133333,49.666667,73,-33,30,4
27,2,2,0,0,0,16,-4,-0.076923,-0.592308,24,-58,149,30,29
1,2,13,0,0.098121,0,3,7.545455,-0.034388,-0.019978,57.727273,31.545455,-29.545455,30.090909,28
23,0,8,0,0.056719,1,-10.285714,-9,-0.214489,-0.202391,-41.809524,-16.190476,-34.690476,30.190476,26
18,2,13,0,0.056719,1,1.037879,1.424242,0.037981,0.040651,-23.560606,14.689394,30.007576,30.409091,19
8,2,14,1,-0.353518,0,3.25,2.666667,0.031681,0.161533,52.833333,-21.166667,7.5,30.5,9
30,2,9,1,0.244919,0,3.5,-1.375,0.074321,0.002343,-9.5,-15.625,14.5,30.625,31
3,0,4,0,0,1,-2.666667,8,-0.017677,0.078098,-29.666667,-38.666667,4,30.666667,15
4,0,15,1,-0.785448,1,-8.076923,7.769231,-0.043962,0.046338,-19.538462,41.769231,0.307692,31,6
2,1,6,0,-0.241355,1,-14.8,-5,-0.092115,0.058423,-27,-104.4,-92.8,31.4,17
25,2,6,0,-0.117002,0,2.6,1.2,-0.181359,-0.027522,-55.8,3.8,27.4,31.4,29
2,2,8,1,-0.241355,0,-0.571429,1.285714,0.082474,0.011245,4.714286,-0.857143,5.571429,31.428571,3
25,0,8,0,0.215123,1,-3.142857,-5.571429,0.049784,0.147823,-31.714286,-106.285714,-0.142857,31.571429,27
17,0,6,0,-0.124353,1,7,15.6,0.058875,0.117016,127,26.2,-34.4,31.6,31
25,2,4,0,0,1,0,-9.333333,0.000638,-0.127688,-86.666667,-67,9.666667,32,31
